Name,Organization,Project
Rahul Chauhan-1,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Omkar Prabhune,Apertium,A free/open-source machine translation platform.
Purhan Kaushik,OpenWISP,"OpenWISP is an open source network management system which runs on low cost hardware and be used to manage networks: from public wifi, university wifi, to mesh networks and IoT."
Rishikesh Vanarse,"Center for Research in Open Source Software, UC Santa Cruz",CROSS bridges the gap between student research and successful open source projects.
Avishrant Sharma,AboutCode,"AboutCode is a suite of tools to uncover data ... about software and code:

 - Where does it come from?
 - What is its license?
 - Is it secure, maintained, well coded?"
Bhaarat Kumar Khatri,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Atharva Nimbalkar,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
Aner Lucero,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Mohammed Jeeshan Sheikh,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Aditya Kasibhatla,RoboComp,RoboComp is a modern open-source Robotics framework.
Sayan Nath,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Vishv Kakadiya,Cuneiform Digital Library Initiative (CDLI),"CDLI is driven by the mission to enable collection, preservation, and accessibility of information concerning artifacts inscribed the cuneiform script."
Yassmin Hesham,RoboComp,RoboComp is a modern open-source Robotics framework.
lvrcek,Open Genome Informatics,"Developing open source and open access genome and bioinformatics databases, tools and resources."
rgo3,Cilium,"Cilium provides eBPF-based networking, observability, and security with optimal scale and performance for platform teams operating Kubernetes environments."
Rishabh Ranjan Jha,Joomla!,Joomla is one of the world's most popular software packages used to build websites and online apps. Joomla is supported by a large ecosystem powering about 2% of known businesses.
Aniket Giri,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
María Belén,Metasploit,The world’s most used penetration testing framework
Ajay-1,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Arkajyoti Basak,JdeRobot - Universidad Rey Juan Carlos,"JdeRobot is a software toolkit for development of Robotics and Computer Vision applications. ROS friendly. It uses Python, C++, JS. It includes an Academy to learn robotics"
Mohammad Warid,Public Lab,Public Lab is a community and non-profit democratizing science to address environmental issues that affect people.
Ank,Genome Assembly and Annotation,The Genome Assembly and Annotation resources freely distribute reference annotations of genomic sequences and variation to the worldwide research community.
Isaac Miti,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
William Kimmerer,The Julia Language,A fresh approach to Technical Computing
Sachin Som,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Yatharth Vyas,Joomla!,Joomla is one of the world's most popular software packages used to build websites and online apps. Joomla is supported by a large ecosystem powering about 2% of known businesses.
Stefanos Vlachos,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Thomas Huber,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Aman Godara,Fortran-lang,Fortran-lang is an open source community whose goal is to develop modern infrastructure and online collaborative platforms for the Fortran language.
Meghal Bisht,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Shubhank Saxena,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
antelk,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Aryan Kenchappagol,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
federikovi,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
Zhuoran He,CNCF,Building sustainable ecosystems for cloud native software
Archisman Dey,BeagleBoard.org Foundation,"BeagleBoard.org is advancing open source hardware and growing the community of embedded Linux developers. This year, we've added RISC-V hardware."
Sankalp (codesankalp),OpenWISP,"OpenWISP is an open source network management system which runs on low cost hardware and be used to manage networks: from public wifi, university wifi, to mesh networks and IoT."
